dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,objID1,distance
image,-1,JWST,jw01176213001_xx109_00003_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,944.836,INFRARED,F150W;F356W;,1331000000000,1668000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.05090366707832 -24.097061249938918 63.96408275124083 -24.065763160704023 63.978939361599316 -24.031955495116904 64.06466308904126 -24.06283280459877 ,,,,,,SCIENCE,10000002631,10000000205,10000000205,0
image,-1,JWST,jw01176213001_xx10C_00003_nircam,MACSJ0416.1-2403,64.03708333333333,-24.0746388888889,,,944.836,INFRARED,F200W;F277W;,1755000000000,2226000000000,,JWST Medium-Deep Fields -- Windhorst IDS GTO Program,,NIRCAM,"Windhorst, Rogier A.",1176,GTO,JWST,-999,APT,POLYGON ICRS 64.05090366707832 -24.097061249938918 63.96408275124083 -24.065763160704023 63.978939361599316 -24.031955495116904 64.06466308904126 -24.06283280459877 ,,,,,,SCIENCE,10000002157,10000000208,10000000208,0
image,-1,JWST,jw01208004001_xx10D_00004_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,944.836,INFRARED,F200W;F356W;,1755000000000,2226000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08711107498463 -24.12829042380656 64.01484332452036 -24.074339550013235 64.04026828945187 -24.0462674714056 64.11164145391302 -24.09951385516922 ,,,,,,SCIENCE,10000004166,10000004313,10000004313,0
image,-1,JWST,jw01208004001_xx10G_00001_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,365.05,INFRARED,F200W;F356W;,1755000000000,2226000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08333727261358 -24.128668904516704 64.01107089866916 -24.074716258281683 64.03649676348651 -24.04664480283617 64.10786857244587 -24.099892938330697 ,,,,,,SCIENCE,10000010556,10000004316,10000004316,0
image,-1,JWST,jw01208004001_xx10K_00003_nircam,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,944.836,INFRARED,F115W;F444W;,1013000000000,1282000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRCAM,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.08459520921495 -24.1285427545763 64.01232837641196 -24.074590699130624 64.03775394127518 -24.046519035965503 64.10912620208683 -24.09976658757398 ,,,,,,SCIENCE,10000010560,10000004320,10000004320,0
spectrum,-1,JWST,jw01208016001_xx102_00002_nirspec,ID14B-MACSJ0416,64.0342,-24.0667138888889,,,2407.167,INFRARED,F170LP;G235H,1700000000000,5000000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRSPEC,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.03459915738038 -24.067130710404115 64.03463114770717 -24.06624433043754 64.03368928159594 -24.066226579302167 64.03365709730551 -24.067113092379945 ,,,,,,SCIENCE,10000004219,10000004430,10000004430,23.828112619001544
spectrum,-1,JWST,jw01208016001_xx103_00003_nirspec,ID14B-MACSJ0416,64.0342,-24.0667138888889,,,2407.167,INFRARED,F170LP;G235H,1700000000000,5000000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRSPEC,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.03464175164804 -24.067215374503746 64.03467374170162 -24.066328994528305 64.0337318749629 -24.066311243653672 64.03369969094557 -24.067197756740313 ,,,,,,SCIENCE,10000004220,10000004431,10000004431,23.50160240272607
spectrum,-1,JWST,jw01208023001_xx101_00001_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,558.312,INFRARED,F200W;,1600000000000,2300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04177997317171 -24.098597787662243 64.01017593819635 -24.075108929546502 64.03626540403874 -24.04614923822146 64.06783977339339 -24.069653271395453 ,,,,,,SCIENCE,10000010631,10000004454,10000004454,0
spectrum,-1,JWST,jw01208023001_xx109_00008_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F200W;GR150C,1600000000000,2300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04159422290671 -24.098589519831478 64.00999022401193 -24.075100623580912 64.036079730076 -24.046140963734047 64.06765406338992 -24.069645035036103 ,,,,,,SCIENCE,10000004233,10000004462,10000004462,0
spectrum,-1,JWST,jw01208023001_xx10C_00001_niriss,MACSJ0416.1-2403,64.03904166666666,-24.07236111111109,,,1202.518,INFRARED,F200W;GR150R,1600000000000,2300000000000,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,,NIRISS,"Willott, Chris J.",1208,GTO,JWST,-999,APT,POLYGON ICRS 64.04177997317171 -24.098597787662243 64.01017593819635 -24.075108929546502 64.03626540403874 -24.04614923822146 64.06783977339339 -24.069653271395453 ,,,,,,SCIENCE,10000004236,10000004465,10000004465,0
